Libelle,Count,geo_point.1,geo_point.2,
Quai_de_Gesvres,8064375,48.85626935,2.348013757,
Rue de Rivoli,788103,48.85712145,2.351899393,
Av_Champs_Elysees,14139577,48.86570204,2.300213527,
St_Martin,1423588,48.85699129,2.349135704,
Bd_du_Palais,1960204,48.85485659,2.345463977,
Rue_du_Petit_Pont,1030797,48.85262357,2.34654474,
Quai_St_Michel,1297070,48.85320975,2.345091395,
Lagrange,305231,48.8511189,2.348306379,
Pte_de_Chatillon,731370,48.82254751,2.314439185,
Bd_de_la_Villette,1361777,48.88326987,2.36916916,
Av_Secretan,475210,48.88179697,2.370429587,
Pt_au_Change,1061632,48.85669759,2.346817575,
Bd_Bercy,1739246,48.83962965,2.378598066,
Av_Claude_Vellefaux,2864737,48.87287881,2.369869223,
Av_Claude_Vellfaux,538517,48.87565174,2.370358314,
PE_Gentilly,3618384,48.81637123,2.344153287,
Av_de_Choisy,1493240,48.82689901,2.357398319,
PE_Ivry,7432291,48.81956638,2.373433514,
Av_Friedland,2060530,48.87422081,2.299997673,
Sts_Peres,2260638,48.85232835,2.328951405,
PI_Italie,4066110,48.81634334,2.358457168,
SE_RN13_bretelle_4,938907,48.88025335,2.281031482,
PE_Pont_Amont,8841551,48.82626017,2.388400111,
PE_Guyane,8743096,48.83846287,2.413046077,
PE_Vincennes,6679244,48.84672728,2.414586429,
Concorde_Ouest,1807192,48.86498719,2.320363781,
PI_Vincennes,6065501,48.84675451,2.414368234,
PI_Courteline,7506338,48.84352072,2.41381119,
Concorde,1570360,48.8641873,2.320098873,
Concorde_Est,808292,48.86480684,2.320988775,
Concorde_Nord,1382026,48.8664765,2.321248563,
Royale,2305993,48.86748373,2.322536485,
PI_Louis_Lumiere,7217317,48.8587733,2.41400485,
Madeleine,2466782,48.86921693,2.323541124,
PE_Cloture,7708400,48.89875899,2.393433288,
PI_Villette,6377755,48.90030127,2.3865005,
PI_Chaumont,7525118,48.88427825,2.398855515,
VGP_Cours_la_Reine,2096231,48.86467042,2.308456712,
PI_Lilas,6037430,48.87867623,2.407600976,
PE_Montmartre,6428431,48.90092186,2.337191515,
PI_Asnieres,6036021,48.89180167,2.301209921,
Pt_Concorde,1315798,48.86332735,2.319489166,
Chatelet,1445887,48.85740112,2.347448578,
Renard,7404594,48.85793306,2.351655589,
Pt_Alexandre_III,700384,48.86377009,2.313465315,
Coutellerie,882909,48.8574109,2.350386363,
AV_Friedland,653466,48.87433338,2.300067262,
Pt_Notre_Dame,566413,48.85617425,2.348593316,
Cite,1130831,48.85380828,2.34723035,
Bonaparte,705630,48.85461492,2.333607595,
Bd_Vincent_Auriol,2378037,48.83144854,2.357115655,
Souterrain_Pantin_N-S,80283,48.89135669,2.395453433,
Pl_Hotel_de_Ville,302091,48.85645921,2.350875143,
Rampe_Bir_Hakeim_RD,379475,48.85554729,2.285130624,
Quai_de_la_Gare,1018849,48.83660475,2.374453399,
PI_Ambass_Russie,7145842,48.8678453,2.269927149,
Av_Victoria,602618,48.85704536,2.348570802,
Pt_St_Michel,990545,48.85404851,2.344623342,
PI_Courcelles,7082645,48.88926482,2.295812007,
Contre-Allee_Concorde,836602,48.86653873,2.320196931,
Bd_Madeleine,1304154,48.86957622,2.326347603,
Av_Foch,9037957,48.87184892,2.277755972,
Caporal_Peugeot,666656,48.88686072,2.289826844,
Place_Pte_Champerret,567527,48.88577709,2.29021825,
PI_Plaine,6905040,48.8272917,2.293599107,
Contre_Allee_Concorde,855776,48.86551165,2.319481933,
St_Denis,306930,48.85836606,2.347274932,
PE_Orleans,5523731,48.81999003,2.32551374,
PE_Cite_Universitaire,4174906,48.81656703,2.339293608,
PE_Parc_Expo_Est,4715927,48.82929756,2.287786221,
Souterrain_Pantin_N_S,82222,48.88838768,2.396108842,
PE_Lafenestre,5884830,48.8235599,2.309617974,
PE_Point_du_Jour,4802004,48.83547107,2.258374287,
PI_Montrouge,3118969,48.82150731,2.319187595,
PI_Lafenestre,6744101,48.82395254,2.308425672,
PI_Quai_Ivry,8890667,48.82544126,2.38568179,
